Package,Version
NMF,0.22.0
matrixStats,0.58.0
annotate,1.66.0
AnnotationDbi,1.50.3
beachmat,2.4.0
Biobase,2.48.0
BiocGenerics,0.34.0
BiocParallel,1.22.0
BiocSingular,1.4.0
BiocVersion,3.11.1
clusterExperiment,2.11.2
DelayedArray,0.14.1
edgeR,3.30.3
genefilter,1.70.0
GenomeInfoDb,1.24.2
GenomicRanges,1.40.0
graph,1.66.0
HDF5Array,1.16.1
IRanges,2.22.2
limma,3.44.3
mbkmeans,1.4.1
rhdf5,2.32.4
Rhdf5lib,1.10.1
S4Vectors,0.26.1
SingleCellExperiment,1.10.1
SummarizedExperiment,1.18.2
XVector,0.28.0
zinbwave,1.10.1
zlibbioc,1.34.0
