Package,Version
NMF,0.24.0
annotate,1.74.0
AnnotationDbi,1.58.0
beachmat,2.12.0
Biobase,2.56.0
BiocGenerics,0.42.0
BiocParallel,1.30.0
BiocSingular,1.12.0
BiocVersion,3.15.2
Biostrings,2.64.0
clusterExperiment,2.16.0
DelayedArray,0.22.0
edgeR,3.38.0
genefilter,1.78.0
GenomeInfoDb,1.32.1
GenomicRanges,1.48.0
graph,1.74.0
HDF5Array,1.24.0
IRanges,2.30.0
KEGGREST,1.36.0
limma,3.52.0
MatrixGenerics,1.8.0
mbkmeans,1.12.0
rhdf5,2.40.0
rhdf5filters,1.8.0
Rhdf5lib,1.18.0
S4Vectors,0.34.0
ScaledMatrix,1.4.0
SingleCellExperiment,1.18.0
SummarizedExperiment,1.26.1
XVector,0.36.0
zinbwave,1.18.0
zlibbioc,1.42.0
