Package,Version
abind,1.4-5
acepack,1.4.1
actuar,3.2-2
ada,2.0-5
additivityTests,1.1-4
ade4,1.7-19
ade4TkGUI,0.3-1
adegraphics,1.0-16
adehabitatLT,0.3.25
adehabitatMA,0.3.14
adimpro,0.9.3
admisc,0.27
AER,1.2-9
AGD,0.39
AICcmodavg,2.3-1
akima,0.6-3.4
alabama,2022.4-1
alphashape3d,1.3.1
alr4,1.0.6
amap,0.8-18
Amelia,1.8.0
AmesHousing,0.0.4
analogue,0.17-6
Andromeda,0.6.0
antiword,1.3.1
aod,1.3.2
ape,5.6-2
aplpack,1.3.5
archetypes,2.2-0.1
arm,1.12-2
aroma.apd,0.6.0
ars,0.6
arules,1.7-3
arulesViz,1.5-1
ash,1.0-15
ashr,2.2-54
AsioHeaders,1.16.1-1
askpass,1.1
assertthat,0.2.1
astsa,1.15
AUC,0.3.2
audio,0.1-10
aws,2.5-1
aws.s3,0.3.21
aws.signature,0.6.0
awsMethods,1.1-1
backports,1.4.1
bartMachine,1.2.6
bartMachineJARs,1.1
base64enc,0.1-3
base64url,1.4
basefun,1.1-2
baseline,1.3-1
BatchJobs,1.9
batchtools,0.9.15
bayesm,3.1-4
bayesplot,1.9.0
BayesX,0.3-1
BayesXsrc,3.0-2
bazar,1.0.11
BB,2019.10-1
BBmisc,1.12
bbmle,1.0.24
bdsmatrix,1.3-4
bench,1.1.2
benchmarkme,1.0.7
benchmarkmeData,1.0.4
benchr,0.2.5
Bessel,0.6-0
bestglm,0.37.3
betareg,3.1-4
BH,1.78.0-0
BiasedUrn,1.07
bibtex,0.4.2.3
biclust,2.0.3
biglasso,1.5.1
biglm,0.9-2.1
bigmemory,4.6.1
bigmemory.sri,0.1.3
binda,1.0.4
bindr,0.1.1
bindrcpp,0.2.2
binGroup,2.2-1
BiocManager,1.30.17
bit,4.0.4
bit64,4.0.5
bitops,1.0-7
blob,1.2.3
BMA,3.18.17
bnlearn,4.7.1
bookdown,0.26
boot,1.3-28
bootstrap,2019.6
BradleyTerry2,1.1-2
brew,1.0-7
brglm,0.7.2
bridgesampling,1.1-2
brio,1.1.3
brms,2.17.0
Brobdingnag,1.2-7
broom,0.8.0
bslib,0.3.1
bssm,2.0.1
btergm,1.10.6
C50,0.1.6
cachem,1.0.6
Cairo,1.5-15
